vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,seat_count,gross_vehicle_weight,co2_emission_from_kg,co2_emission_to_kg,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
8YJ0RG2_2025,AUDI AG,DE,Audi,A3,A3 allstreet 35 TDI S tronic,2025,,,allstreet,,,,,,,35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,960",131,141,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Ladeluftkühlung,,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.engine_compare.8YJ0YG2_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.modelsinfo.mv-543.47.183155.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.carinfo.mv-543.47.183155.json
8YJ0YC2_2025,AUDI AG,DE,Audi,A3,A3 allstreet 35 TFSI Schaltgetriebe,2025,,,allstreet,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,845",131,141,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.engine_compare.8YJ0YG2_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.modelsinfo.mv-543.47.183155.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.carinfo.mv-543.47.183155.json
8YJ0YG2_2025,AUDI AG,DE,Audi,A3,A3 allstreet 35 TFSI S tronic,2025,,,allstreet,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,1 m",,,110,150,,110 ,,,,,,,,"1,880",123,133,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.engine_compare.8YJ0YG2_2025.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.modelsinfo.mv-543.47.183155.json,https://www.audi.de/de/brand/de/neuwagen/a3/a3-allstreet.carinfo.mv-543.47.183155.json
