Region,Company,Brand,Area name,Composite Name,Generation Year,Generation sales name,Sales Geo Area type,Body Type,Body Type sales name,Model Code,Version Year,Version Sales name,Vehicle Platform,Market Segment,Type Name,Type Code,Door count,Energy type,Steering Position Type,Output Type,Output Power (kW) [1..n],Output Power (HP) [1..n],Sales Horse Power (HP),Capacity,Feature Configuration,Sales Geo Area,Start of Production (from),End of Production (to),Start of Sales (from),End of Sales (to),Emission Standard,Gross Vehicle Weight,Co2 Emission from g/Km,Co2 Emission to g/Km,Power Train Type,Drive Type,Drive Type Sales Name,Catalyst Type,Steering Box Type,Voltage Type,Gearbox type,Engine [1..n] ,Brake Type,Brake Disc Thickness,Brake Outer Diameter,Rim Measurement Type Front,Rim Measurement Type Rear,Suspension Type,Wheel suspension type,Wheel Count Type,Brake Name,Brake System Type,Engine,Additional Code Engine,Engine Sales Name,Catalogue Display Code,Aspiration Type,Aspiration Intercooler,Gearbox,Additional Code Gearbox,Gearbox Sales Name,Url,Url_json
DE,Hyundai,Hyundai,i30 N," 2.0 T-GDI Frontantrieb Benzin, 6-Gang, 184 kW (250 PS)",,,Europe,Sport,,3380,,,,,Sport,,,i30 N,Left Hand Side,,184,250,250,,,Europe,,,,,,1560,175,175,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,5 J x 18-Zoll-Leichtmetallfelgen mit 225/40 R 18 Bereifung","7,5 J x 18-Zoll-Leichtmetallfelgen mit 225/40 R 18 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i30 N/26/V6/190/trims/92/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/26/gen/V6/body/190/trim/92/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i30,"Advantage 1.0 T-GDI Frontantrieb Benzin, 6-Gang, 74 kW (100 PS)",,,Europe,Kompakt,,3750,,,,,Kompakt,,,Advantage,Left Hand Side,,74,100,100,,,Europe,,,,,,1440,126,143,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,0 J x 17-Zoll-Leichtmetallfelgen mit 225/45 R 17 Bereifung","7,0 J x 17-Zoll-Leichtmetallfelgen mit 225/45 R 17 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i30/3/V15/224/trims/161/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/3/gen/V15/body/224/trim/161/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20 N," 1.6 T-GDI Frontantrieb Benzin, 6-Gang, 150 kW (204 PS)",,,Europe,Klein,,3377,,,,,Klein,,,i20 N,Left Hand Side,,150,204,204,,,Europe,,,,,,1220,158,158,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,5 J x 18-Zoll-Leichtmetallfelgen mit 215/40 R 18 Bereifung","7,5 J x 18-Zoll-Leichtmetallfelgen mit 215/40 R 18 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20 N/44/V2/188/trims/143/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/44/gen/V2/body/188/trim/143/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i30,"N Line 1.5 T-GDI Frontantrieb Benzin 48V-Hybrid, 6-Gang, 103 kW (140 PS)",,,Europe,Kompakt,,3750,,,,,Kompakt,,,N Line,Left Hand Side,,103,140,140,,,Europe,,,,,,1503,133,152,Multi fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,5 J x 18-Zoll-Leichtmetallfelgen mit 225/40 R 18 Bereifung","7,5 J x 18-Zoll-Leichtmetallfelgen mit 225/40 R 18 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i30/3/V15/224/trims/104/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/3/gen/V15/body/224/trim/104/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20 N,"i20 N Performance 1.6 T-GDI Frontantrieb Benzin, 6-Gang, 150 kW (204 PS)",,,Europe,Klein,,3377,,,,,Klein,,,i20 N Performance,Left Hand Side,,150,204,204,,,Europe,,,,,,1220,158,158,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,5 J x 18-Zoll-Leichtmetallfelgen mit 215/40 R 18 Bereifung","7,5 J x 18-Zoll-Leichtmetallfelgen mit 215/40 R 18 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20 N/44/V2/188/trims/144/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/44/gen/V2/body/188/trim/144/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20,"Prime 1.0 T-GDI Frontantrieb Benzin, 6-Gang, 74 kW (100 PS)",,,Europe,Klein,,3709,,,,,Klein,,,Prime,Left Hand Side,,74,100,100,,,Europe,,,,,,1260,117,127,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,0 J x 17-Zoll-Leichtmetallfelgen mit 215/45 R 17 Bereifung","7,0 J x 17-Zoll-Leichtmetallfelgen mit 215/45 R 17 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20/2/V13/218/trims/133/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/2/gen/V13/body/218/trim/133/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20,"N Line 1.0 T-GDI Frontantrieb Benzin, 6-Gang, 74 kW (100 PS)",,,Europe,Klein,,3709,,,,,Klein,,,N Line,Left Hand Side,,74,100,100,,,Europe,,,,,,1260,117,127,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,0 J x 17-Zoll-Leichtmetallfelgen mit 215/45 R 17 Bereifung","7,0 J x 17-Zoll-Leichtmetallfelgen mit 215/45 R 17 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20/2/V13/218/trims/104/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/2/gen/V13/body/218/trim/104/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i10,"N Line 1.0 T-GDI Frontantrieb Benzin, 5-Gang, 66 kW (90 PS)",,,Europe,Klein,,3700,,,,,Klein,,,N Line,Left Hand Side,,66,90,90,,,Europe,,,,,,1120,123,123,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"6,5 J x 16-Zoll-Leichtmetallfelgen mit 195/45 R 16 Bereifung","6,5 J x 16-Zoll-Leichtmetallfelgen mit 195/45 R 16 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i10/1/V11/217/trims/104/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/1/gen/V11/body/217/trim/104/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i10,"1.0 Frontantrieb Benzin, 5-Gang, 46 kW (63 PS)",,,Europe,Klein,,3700,,,,,Klein,,,,Left Hand Side,,46,63,63,,,Europe,,,,,,1068,111,125,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"5,5 J x 14-Zoll-Stahlfelgen mit Radzierblende und 175/65 R 14 Bereifung","5,5 J x 14-Zoll-Stahlfelgen mit Radzierblende und 175/65 R 14 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i10/1/V11/217/trims/81/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/1/gen/V11/body/217/trim/81/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i10,"Trend 1.0 Frontantrieb Benzin, 5-Gang, 46 kW (63 PS)",,,Europe,Klein,,3700,,,,,Klein,,,Trend,Left Hand Side,,46,63,63,,,Europe,,,,,,1068,114,126,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"6,0 J x 15-Zoll-Leichtmetallfelgen mit 185/55 R 15 Bereifung","6,0 J x 15-Zoll-Leichtmetallfelgen mit 185/55 R 15 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i10/1/V11/217/trims/26/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/1/gen/V11/body/217/trim/26/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20,"Select 1.2 Frontantrieb Benzin, 5-Gang, 58 kW (79 PS)",,,Europe,Klein,,3709,,,,,Klein,,,,Left Hand Side,,58,79,79,,,Europe,,,,,,1208,120,128,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"6,0 J x 15-Zoll-Stahlfelgen mit Radzierblende und 185/65 R 15 Bereifung","6,0 J x 15-Zoll-Stahlfelgen mit Radzierblende und 185/65 R 15 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20/2/V13/218/trims/81/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/2/gen/V13/body/218/trim/81/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i20,"Trend 1.0 T-GDI Frontantrieb Benzin, 6-Gang, 74 kW (100 PS)",,,Europe,Klein,,3709,,,,,Klein,,,Trend,Left Hand Side,,74,100,100,,,Europe,,,,,,1260,117,127,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"6,0 J x 16-Zoll-Leichtmetallfelgen mit 195/55 R 16 Bereifung","6,0 J x 16-Zoll-Leichtmetallfelgen mit 195/55 R 16 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i20/2/V13/218/trims/26/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/2/gen/V13/body/218/trim/26/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,i10,"Prime 1.2 Frontantrieb Benzin, 5-Gang, 58 kW (79 PS)",,,Europe,Klein,,3700,,,,,Klein,,,Prime,Left Hand Side,,58,79,79,,,Europe,,,,,,1082,117,132,Single fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"6,5 J x 16-Zoll-Leichtmetallfelgen mit 195/45 R 16 Bereifung","6,5 J x 16-Zoll-Leichtmetallfelgen mit 195/45 R 16 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/i10/1/V11/217/trims/133/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/1/gen/V11/body/217/trim/133/config.json?withAccessories&sections=
DE,Hyundai,Hyundai,TUCSON,"Trend 1.6 T-GDI Frontantrieb Benzin, DCT, 118 kW (160 PS)",,,Europe,SUV,,3724,,,,,SUV,,,Trend,Left Hand Side,,118,160,160,,,Europe,,,,,,1724,140,148,Multi fuel,"Vorne quer, Frontantrieb",,,,,,,,,,"7,5 J x 18-Zoll-Leichtmetallfelgen mit 235/55 R 18 Bereifung","7,5 J x 18-Zoll-Leichtmetallfelgen mit 235/55 R 18 Bereifung",,,,,,,,,,,,,,,https://www.hyundai.com/de/de/konfigurator/configure/TUCSON/8/V9/221/trims/26/summary,https://www.hyundai.com/de/de/konfigurator/api/data/model/8/gen/V9/body/221/trim/26/config.json?withAccessories&sections=
