model_url,engine_url,model_name
https://www.audi.de/de/brand/de/neuwagen/a5/rs-5-sportback.html,https://www.audi.de/de/brand/de/neuwagen/a5/rs-5-sportback/motor.html,RS 5 Sportback
https://www.audi.de/de/brand/de/neuwagen/a6/a6-limousine.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-limousine/motor.html,A6 Limousine
https://www.audi.de/de/brand/de/neuwagen/a6/a6-limousine-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-limousine-tfsi-e/motor.html,A6 Limousine TFSI e
https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,A6 Avant
https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e/motor.html,A6 Avant TFSI e
https://www.audi.de/de/brand/de/neuwagen/a6/a6-allroad-quattro.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-allroad-quattro/motor.html,A6 allroad quattro
https://www.audi.de/de/brand/de/neuwagen/a6/s6-limousine.html,https://www.audi.de/de/brand/de/neuwagen/a6/s6-limousine/motor.html,S6 Limousine TDI
https://www.audi.de/de/brand/de/neuwagen/a6/s6-avant.html,https://www.audi.de/de/brand/de/neuwagen/a6/s6-avant/motor.html,S6 Avant TDI
https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant.html,https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant/motor.html,RS 6 Avant
https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant-performance.html,https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant-performance/motor.html,RS 6 Avant performance
https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant-gt.html,https://www.audi.de/de/brand/de/neuwagen/a6/rs-6-avant-gt/motor.html,RS 6 Avant GT
https://www.audi.de/de/brand/de/neuwagen/a7/a7-sportback.html,https://www.audi.de/de/brand/de/neuwagen/a7/a7-sportback/motor.html,A7 Sportback
https://www.audi.de/de/brand/de/neuwagen/a7/a7-sportback-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/a7/a7-sportback-tfsi-e/motor.html,A7 Sportback TFSI e
https://www.audi.de/de/brand/de/neuwagen/a7/s7-sportback.html,https://www.audi.de/de/brand/de/neuwagen/a7/s7-sportback/motor.html,S7 Sportback TDI
https://www.audi.de/de/brand/de/neuwagen/a7/rs-7-sportback.html,https://www.audi.de/de/brand/de/neuwagen/a7/rs-7-sportback/motor.html,RS 7 Sportback
https://www.audi.de/de/brand/de/neuwagen/a7/rs-7-sportback-performance.html,https://www.audi.de/de/brand/de/neuwagen/a7/rs-7-sportback-performance/motor.html,RS 7 Sportback performance
https://www.audi.de/de/brand/de/neuwagen/a8/a8.html,https://www.audi.de/de/brand/de/neuwagen/a8/a8/motor.html,A8
https://www.audi.de/de/brand/de/neuwagen/a8/a8-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/a8/a8-tfsi-e/motor.html,A8 TFSI e
https://www.audi.de/de/brand/de/neuwagen/a8/a8-l.html,https://www.audi.de/de/brand/de/neuwagen/a8/a8-l/motor.html,A8 L
https://www.audi.de/de/brand/de/neuwagen/a8/a8-l-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/a8/a8-l-tfsi-e/motor.html,A8 L TFSI e
https://www.audi.de/de/brand/de/neuwagen/a8/s8.html,https://www.audi.de/de/brand/de/neuwagen/a8/s8/motor.html,S8 TFSI
https://www.audi.de/de/brand/de/neuwagen/q2/q2.html,https://www.audi.de/de/brand/de/neuwagen/q2/q2/motor.html,Q2
https://www.audi.de/de/brand/de/neuwagen/q2/sq2.html,https://www.audi.de/de/brand/de/neuwagen/q2/sq2/motor.html,SQ2 TFSI
https://www.audi.de/de/brand/de/neuwagen/q3/q3.html,https://www.audi.de/de/brand/de/neuwagen/q3/q3/motor.html,Q3
https://www.audi.de/de/brand/de/neuwagen/q3/q3-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q3/q3-tfsi-e/motor.html,Q3 TFSI e
https://www.audi.de/de/brand/de/neuwagen/q3/q3-sportback.html,https://www.audi.de/de/brand/de/neuwagen/q3/q3-sportback/motor.html,Q3 Sportback
https://www.audi.de/de/brand/de/neuwagen/q3/q3-sportback-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q3/q3-sportback-tfsi-e/motor.html,Q3 Sportback TFSI e
https://www.audi.de/de/brand/de/neuwagen/q3/rs-q3.html,https://www.audi.de/de/brand/de/neuwagen/q3/rs-q3/motor.html,RS Q3
https://www.audi.de/de/brand/de/neuwagen/q3/rs-q3-sportback.html,https://www.audi.de/de/brand/de/neuwagen/q3/rs-q3-sportback/motor.html,RS Q3 Sportback
https://www.audi.de/de/brand/de/neuwagen/q5/q5.html,https://www.audi.de/de/brand/de/neuwagen/q5/q5/motor.html,Q5
https://www.audi.de/de/brand/de/neuwagen/q5/q5-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q5/q5-tfsi-e/motor.html,Q5 TFSI e
https://www.audi.de/de/brand/de/neuwagen/q5/q5-sportback.html,https://www.audi.de/de/brand/de/neuwagen/q5/q5-sportback/motor.html,Q5 Sportback
https://www.audi.de/de/brand/de/neuwagen/q5/q5-sportback-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q5/q5-sportback-tfsi-e/motor.html,Q5 Sportback TFSI e
https://www.audi.de/de/brand/de/neuwagen/q5/sq5.html,https://www.audi.de/de/brand/de/neuwagen/q5/sq5/motor.html,SQ5 TDI
https://www.audi.de/de/brand/de/neuwagen/q5/sq5-sportback.html,https://www.audi.de/de/brand/de/neuwagen/q5/sq5-sportback/motor.html,SQ5 Sportback TDI
https://www.audi.de/de/brand/de/neuwagen/q7/q7-suv.html,https://www.audi.de/de/brand/de/neuwagen/q7/q7-suv/motor.html,Q7 SUV
https://www.audi.de/de/brand/de/neuwagen/q7/q7-suv-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q7/q7-suv-tfsi-e/motor.html,Q7 SUV TFSI e
https://www.audi.de/de/brand/de/neuwagen/q7/sq7-suv.html,https://www.audi.de/de/brand/de/neuwagen/q7/sq7-suv/motor.html,SQ7 SUV
https://www.audi.de/de/brand/de/neuwagen/q8/q8-suv.html,https://www.audi.de/de/brand/de/neuwagen/q8/q8-suv/motor.html,Q8 SUV
https://www.audi.de/de/brand/de/neuwagen/q8/q8-suv-tfsi-e.html,https://www.audi.de/de/brand/de/neuwagen/q8/q8-suv-tfsi-e/motor.html,Q8 SUV TFSI e
https://www.audi.de/de/brand/de/neuwagen/q8/sq8-suv.html,https://www.audi.de/de/brand/de/neuwagen/q8/sq8-suv/motor.html,SQ8 SUV
https://www.audi.de/de/brand/de/neuwagen/q8/rs-q8.html,https://www.audi.de/de/brand/de/neuwagen/q8/rs-q8/motor.html,RS Q8
