area_name,brake_disc_thickness,brake_name,brake_system_type,brand,capacity_i,co2_emission_from_gkm,co2_emission_to_gkm,company,composite_name,emission_standard,end_of_production_to,end_of_sales_to,energy_type,front_brake_detail,front_brake_name,front_brake_outer_diameter,generation_year,gross_vehicle_weight,market_segment,model_code,model_url,output_power_hp,output_power_kw,power_train_type,power_transmission_type,power_transoutput_type,product_group_url,rear_brake_detail,rear_brake_name,rear_brake_outer_diameter,sales_geo_area,sales_horse_power_hp,start_of_production_from,start_of_sales_from,transmission,trim_name,trim_url,type_code,type_name,version_year,voltage_type
,,,,Yamaha,889.0,,,Yamaha Motor,MT-09SP,,,,,Hydraulic dual discs,,298mm,,190,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-09sp,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-09SP,,
,,,,Yamaha,562.0,,,Yamaha Motor,TMAX 560,,,,,Hydraulic dual discs,,267mm,,220,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tmax-560,,,Fuel Injection,Belt,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,282mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,TMAX 560,,
,,,,Yamaha,155.0,,,Yamaha Motor,Tricity 155,,,,,Hydraulic dual discs,,220mm,,172,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-155,,,Fuel Injection,Gear,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,230mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,Tricity 155,,
,,,,Yamaha,250.0,,,Yamaha Motor,YZ250FX,,,,,Hydraulic single disc,,270mm,,111,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz250fx,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,YZ250FX,,
,,,,Yamaha,125.0,,,Yamaha Motor,YZ125X,,,,,Hydraulic single disc,,270mm,,96,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz125x,,,PWK38S,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 6-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,YZ125X,,
,,,,Yamaha,249.0,,,Yamaha Motor,YZ250X,,,,,Hydraulic single disc,,270 mm,,104,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz250x,,,PWK38S Keihin,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240 mm,,,,,Constant mesh 5-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,YZ250X,,
,,,,Yamaha,450.0,,,Yamaha Motor,WR450F,,,,,Hydraulic single disc,,270mm,,119,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/wr450f,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,245mm,,,,,Constant mesh 5-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,WR450F,,
,,,,Yamaha,689.0,,,Yamaha Motor,Ténéré 700,,,,,Hydraulic dual discs,,282mm,,206,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/ténéré-700,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,"Hydraulic single disc 245mm, ABS",,,,,,,Constant mesh 6-speed,Adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,,Ténéré 700,,
,,,,Yamaha,1199.0,,,Yamaha Motor,Super Ténéré,,,,,Hydraulic dual discs,,310mm,,265,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/super-ténéré,,,Fuel Injection,Shaft drive with hypoid gear design,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,"Hydraulic single disc 282mm, ABS, Unified Braking System",,,,,,,Constant mesh 6-speed,Adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,,Super Ténéré,,
,,,,Yamaha,689.0,,,Yamaha Motor,Ténéré 700 World Raid,,,,,Hydraulic dual discs,,282mm,,220,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure/ténéré-700-world-raid,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,"Hydraulic single disc 245mm, ABS",,,,,,,Constant mesh 6-speed,Adventure,https://www.yamaha-motor.com.au/products/motorcycle/off-road/adventure,,Ténéré 700 World Raid,,
,,,,Yamaha,124.0,,,Yamaha Motor,TT-R125LWE,,,,,Hydraulic single disc,,220mm,,90,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r125lwe,,,VM20 x 1,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 5-speed,Fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,,TT-R125LWE,,
,,,,Yamaha,223.0,,,Yamaha Motor,TT-R230,,,,,Hydraulic single disc,,220mm,,114,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/tt-r230,,,Y26P x 1,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 6-speed,Agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,,TT-R230,,
,,,,Yamaha,292.0,,,Yamaha Motor,Tricity 300,,,,,Hydraulic dual discs,,267mm,,237,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-300,,,Fuel Injection,Gear,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,267mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,Tricity 300,,
,,,,Yamaha,124.0,,,Yamaha Motor,AG125,,,,,Drum,,,,113,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/ag125,,,Carburetter,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 5-speed,Agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,,AG125,,
,,,,Yamaha,196.0,,,Yamaha Motor,AG200F,,,,,Drum,,,,128,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/ag200f,,,BS26,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 5-speed,Agriculture,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture,,AG200F,,
,,,,Yamaha,49.0,,,Yamaha Motor,PW50,,,,,Drum,,,,41,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/pw50,,,VM12,Shaft,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Automatic,Fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,,PW50,,
,,,,Yamaha,110.0,,,Yamaha Motor,TT-R110E,,,,,Drum,,,,72,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r110e,,,VM16,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 4-speed,Fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,,TT-R110E,,
,,,,Yamaha,50.0,,,Yamaha Motor,TT-R50E,,,,,Drum,,,,57,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun/tt-r50e,,,VM11,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 3-speed,Fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,,TT-R50E,,
,,,,Yamaha,450.0,,,Yamaha Motor,YZ450FX,,,,,Hydraulic single disc,,270mm,,116,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/yz450fx,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,245mm,,,,,Constant mesh 5-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,YZ450FX,,
,,,,Yamaha,450.0,,,Yamaha Motor,YZ450FSP,,,,,Hydraulic single disc,,270mm,,109,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz450fsp,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,"Constant mesh, 5-speed",Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ450FSP,,
,,,,Yamaha,223.0,,,Yamaha Motor,TT-R230,,,,,Hydraulic single disc,,220mm,,114,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/agriculture/tt-r230,,,Y26P x 1,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Drum,,,,,,,Constant mesh 6-speed,Fun,https://www.yamaha-motor.com.au/products/motorcycle/off-road/fun,,TT-R230,,
,,,,Yamaha,249.0,,,Yamaha Motor,YZ250SP,,,,,Hydraulic single disc,,270mm,,103,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250sp,,,PWK38S,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 5-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ250SP,,
,,,,Yamaha,125.0,,,Yamaha Motor,YZ125SP,,,,,Hydraulic single disc,,270mm,,95,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz125sp,,,PWK38S,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 6-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ125SP,,
,,,,Yamaha,250.0,,,Yamaha Motor,YZ250FSP,,,,,Hydraulic single disc,,270mm,,105,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250fsp,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 5-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ250FSP,,
,,,,Yamaha,250.0,,,Yamaha Motor,WR250F,,,,,Hydraulic single disc,,270mm,,115,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro/wr250f,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Enduro,https://www.yamaha-motor.com.au/products/motorcycle/off-road/enduro,,WR250F,,
,,,,Yamaha,249.0,,,Yamaha Motor,YZ250,,,,,Hydraulic single disc,,270mm,,103,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250,,,PWK38S,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 5-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ250,,
,,,,Yamaha,85.0,,,Yamaha Motor,YZ85,,,,,Hydraulic single disc,,220mm,,73,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz85,,,PWK28,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,190mm,,,,,Constant mesh 6-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ85,,
,,,,Yamaha,250.0,,,Yamaha Motor,YZ250F,,,,,Hydraulic single disc,,270mm,,105,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz250f,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 5-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ250F,,
,,,,Yamaha,450.0,,,Yamaha Motor,YZ450F,,,,,Hydraulic single disc,,270mm,,109,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz450f,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,"Constant mesh, 5-speed",Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ450F,,
,,,,Yamaha,64.8,,,Yamaha Motor,YZ65,,,,,Hydraulic single disc,,198mm,,60.8,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz65,,,Keihin Carburettor,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,190mm,,,,,Constant mesh 6-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ65,,
,,,,Yamaha,125.0,,,Yamaha Motor,YZ125,,,,,Hydraulic single disc,,270mm,,95,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz125,,,PWK38S,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,240mm,,,,,Constant mesh 6-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ125,,
,,,,Yamaha,85.0,,,Yamaha Motor,YZ85LW,,,,,Hydraulic single disc,,220mm,,75,,,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross/yz85lw,,,PWK28,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/off-road,Hydraulic single disc,,190mm,,,,,Constant mesh 6-speed,Motocross,https://www.yamaha-motor.com.au/products/motorcycle/off-road/motocross,,YZ85LW,,
