area_name,brake_disc_thickness,brake_name,brake_system_type,brand,capacity_i,co2_emission_from_gkm,co2_emission_to_gkm,company,composite_name,emission_standard,end_of_production_to,end_of_sales_to,energy_type,front_brake_detail,front_brake_name,front_brake_outer_diameter,generation_year,gross_vehicle_weight,market_segment,model_code,model_url,output_power_hp,output_power_kw,power_train_type,power_transmission_type,power_transoutput_type,rear_brake_detail,rear_brake_name,rear_brake_outer_diameter,sales_geo_area,sales_horse_power_hp,start_of_production_from,start_of_sales_from,transmission,trim_name,trim_url,type_code,type_name,version_year,voltage_type
,,,,Yamaha,689.0,,,Yamaha Motor,YZF-R7HO,,,,,Hydraulic dual discs,,298mm,,188,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r7ho,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R7HO,,
,,,,Yamaha,998.0,,,Yamaha Motor,YZF-R1M,,,,,Hydraulic dual discs,,320mm,,202,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r1m,,,Fuel Injection,Chain,,Hydraulic dual discs,,320mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R1M,,
,,,,Yamaha,321.0,,,Yamaha Motor,YZF-R3,,,,,Hydraulic single disc,,298mm,,167,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r3,,,Fuel Injection,Chain,,Hydraulic single disc,,298mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R3,,
,,,,Yamaha,155.0,,,Yamaha Motor,YZF-R15M,,,,,,,,,140,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r15m,,,Fuel Injection,Chain,,,,,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R15M,,
,,,,Yamaha,998.0,,,Yamaha Motor,MT-10SP,,,,,,,,,214,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-10sp,,,Fuel Injection,Chain,,,,,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-10SP,,
,,,,Yamaha,599.0,,,Yamaha Motor,YZF-R6,,,,,Hydraulic dual discs,,320mm,,185,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r6,,,Fuel Injection,Chain,,Hydraulic dual discs,,320mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R6,,
,,,,Yamaha,689.0,,,Yamaha Motor,MT-07HO,,,,,Hydraulic dual discs,,298mm,,184,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-07ho,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-07HO,,
,,,,Yamaha,998.0,,,Yamaha Motor,MT-10,,,,,,,,,212,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-10,,,Fuel Injection,Chain,,,,,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-10,,
,,,,Yamaha,889.0,,,Yamaha Motor,MT-09,,,,,Hydraulic dual discs,,298mm,,189,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-09,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-09,,
,,,,Yamaha,655.0,,,Yamaha Motor,XSR700,,,,,Hydraulic dual discs,,282mm,,186,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage/xsr700,,,Fuel Injection,Chain,,Hydraulic dual discs,,282mm,,,,,Constant mesh 6-speed,Sport Heritage,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage,,XSR700,,
,,,,Yamaha,562.0,,,Yamaha Motor,TMAX 560,,,,,Hydraulic dual discs,,267mm,,220,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tmax-560,,,Fuel Injection,Belt,,Hydraulic dual discs,,267mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,TMAX 560,,
,,,,Yamaha,889.0,,,Yamaha Motor,MT-09SP,,,,,Hydraulic dual discs,,298mm,,190,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-09sp,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-09SP,,
,,,,Yamaha,125.0,,,Yamaha Motor,D'elight 125,,,,,,,,,101,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/d'elight-125,,,Fuel Injection,Gear,,,,,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,D'elight 125,,
,,,,Yamaha,155.0,,,Yamaha Motor,Tricity 155,,,,,Hydraulic dual discs,,220mm,,172,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-155,,,Fuel Injection,Gear,,Hydraulic dual discs,,220mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,Tricity 155,,
,,,,Yamaha,655.0,,,Yamaha Motor,MT-07LA,,,,,Hydraulic dual discs,,298mm,,184,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-07la,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-07LA,,
,,,,Yamaha,155.0,,,Yamaha Motor,NMAX 155,,,,,,,,,127,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/nmax-155,,,Fuel Injection,Gear,,,,,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,NMAX 155,,
,,,,Yamaha,890.0,,,Yamaha Motor,Tracer 9 GT Plus,,,,,,,,,223,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/tracer-9-gt-plus,,,Fuel Injection,Chain,,,,,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,Tracer 9 GT Plus,,
,,,,Yamaha,689.0,,,Yamaha Motor,Tracer 7,,,,,Hydraulic dual discs,,298mm,,197,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/tracer-7,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,Tracer 7,,
,,,,Yamaha,1298.0,,,Yamaha Motor,FJR1300AE,,,,,,,,,292,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/fjr1300ae,,,Fuel Injection,Shaft,,,,,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,FJR1300AE,,
,,,,Yamaha,321.0,,,Yamaha Motor,MT-03,,,,,Hydraulic single disc,,298mm,,168,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-03,,,Fuel Injection,Chain,,Hydraulic single disc,,298mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-03,,
,,,,Yamaha,998.0,,,Yamaha Motor,YZF-R1,,,,,Hydraulic dual discs,,320mm,,201,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r1,,,Fuel Injection,Chain,,Hydraulic dual discs,,320mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R1,,
,,,,Yamaha,847.0,,,Yamaha Motor,NIKEN GT,,,,,,,,,267,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/niken-gt,,,Fuel Injection,Chain,,,,,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,NIKEN GT,,
,,,,Yamaha,292.0,,,Yamaha Motor,Tricity 300,,,,,Hydraulic dual discs,,267mm,,237,,,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter/tricity-300,,,Fuel Injection,Gear,,Hydraulic dual discs,,267mm,,,,,V-Belt Automatic,Scooter,https://www.yamaha-motor.com.au/products/motorcycle/road/scooter,,Tricity 300,,
,,,,Yamaha,889.0,,,Yamaha Motor,XSR900,,,,,Hydraulic dual discs,,298mm,,193,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage/xsr900,,,Fuel Injection,Chain,,Hydraulic dual discs,,298mm,,,,,Constant mesh 6-speed,Sport Heritage,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage,,XSR900,,
